source_center,destination_center,trip_count,median_factor,mean_factor,p75_factor,p90_factor,sla_breach_rate,median_actual_time,median_osrm_time,median_distance,route_types
IND627811AAA,IND627401AAA,10,1.5683229813664596,1.8118135286613548,2.0,2.9181818181818184,0.95,29.5,16.5,18.3626,['FTL']
IND628204AAA,IND627657AAA,17,1.1833333333333333,1.257974500989207,1.3333333333333333,1.4285714285714286,0.45588235294117646,12.0,11.0,10.5288,['Carting']
IND628613AAA,IND627005AAA,14,1.3333333333333333,1.3562496540183742,1.5,1.6666666666666667,0.660377358490566,16.0,12.0,14.5193,['Carting']
IND628801AAA,IND628204AAA,17,1.5,1.5168534080298786,1.5714285714285714,1.7999999999999996,0.9705882352941176,11.0,8.0,9.0397,['Carting']
IND629179AAA,IND627005AAA,11,2.0930232558139537,2.1834081540683044,2.186147186147186,2.430666666666667,1.0,50.0,23.0,27.9949,['FTL']
IND630002AAA,IND622407AAA,14,1.3484848484848484,1.4021739188099482,1.4583333333333333,1.6470588235294117,0.8571428571428571,37.0,25.0,25.4902,['FTL']
IND630561AAA,IND623407AAA,15,1.8,1.9433968253968252,2.0,2.4333333333333345,1.0,11.0,6.0,9.7442,['Carting']
IND630561AAA,IND623701AAA,5,1.403985507246377,1.6696362622884362,1.5751748251748252,2.1499999999999995,1.0,32.0,18.0,20.300150000000002,['FTL']
IND631003AAA,IND600056AAB,10,1.9642857142857144,2.433865941157608,3.015625,4.035714285714286,1.0,24.0,14.0,15.0472,['Carting']
IND631102AAA,IND600056AAB,12,1.660919540229885,2.6254765818488126,2.4910714285714284,6.5,1.0,43.0,26.0,28.9394,['FTL']
IND631501AAA,IND600056AAB,1,3.341269841269842,4.843362193362193,5.578571428571429,9.191428571428572,0.75,26.5,10.0,11.2663,['Carting']
IND631501AAA,IND631003AAA,10,2.142857142857143,2.733189033189033,3.347727272727273,4.652727272727273,1.0,15.0,8.0,9.03835,['Carting']
IND632006AAA,IND562132AAA,2,1.6145833333333335,1.6955053621240748,1.856060606060606,2.088888888888889,1.0,43.0,24.0,28.03505,['FTL']
IND632006AAA,IND600056AAB,17,1.5669642857142856,1.6744490966865313,1.9605263157894741,2.4696969696969706,0.7941176470588235,34.0,21.0,28.5126,['FTL']
IND632006AAA,IND632301AAA,14,2.4,2.215028725587732,2.6666666666666665,3.033333333333333,1.0,32.5,15.5,20.00935,['FTL']
IND632006AAA,IND632402AAA,8,2.9523809523809526,4.54564393939394,6.141233766233767,7.979999999999999,1.0,62.0,21.5,23.6773,['FTL']
IND632006AAA,IND635802AAB,3,1.2857142857142858,1.247113997113997,1.310064935064935,1.3971861471861473,0.8333333333333334,28.0,21.0,23.0335,['FTL']
