hub_id,hub_name,state,in_degree,out_degree,in_strength,out_strength,betweenness_centrality,avg_outgoing_factor,avg_incoming_factor,avg_outgoing_sla_breach,in_wcc,betweenness_centrality_norm,avg_outgoing_factor_norm,avg_outgoing_sla_breach_norm,out_degree_norm,bottleneck_score,bottleneck_rank
IND673506AAA,Kallachi_ZamQuatr_D (Kerala),Kerala,1,1,1.6363636363636365,1.4330357142857144,0.0,1.4330357142857144,1.6363636363636365,0.9705882352941176,1,0.0,0.1235375615657049,0.9705882343235294,0.02040816326488963,0.276592673462042,933
IND591123AAC,Ramdurg_GndhiNGR_D (Karnataka),Karnataka,1,1,1.818181818181818,1.5416666666666667,0.0017978221431760636,1.5416666666666667,1.818181818181818,0.9534883720930233,1,0.005168684128822411,0.13290229883911764,0.9534883711395349,0.02040816326488963,0.27646793142948445,934
IND68004AAA,Thrissur_Poothole_D (Kerala),Kerala,2,2,3.2878787878787876,4.055555555555555,0.0011961509992598075,2.0277777777777777,1.6439393939393938,0.9017384731670446,1,0.0034388978403765104,0.17480842910370425,0.901738472265306,0.04081632652977926,0.27646278856585127,935
IND334001AAC,Bikaner_ITICollg_L (Rajasthan),Rajasthan,1,2,1.4838709677419355,3.237039512774807,0.0062176165803108805,1.6185197563874034,1.4838709677419355,0.9166666666666667,1,0.01787545907126404,0.1395275651937824,0.91666666575,0.04081632652977926,0.2764274173903549,936
IND465669AAB,Narsinghgarh_Central_D_1 (Madhya Pradesh),Madhya Pradesh,1,1,2.071428571428572,1.52,0.002390821613619541,1.52,2.071428571428572,0.9523809523809523,1,0.006873539619069387,0.13103448274732463,0.9523809514285713,0.02040816326488963,0.2763208219003817,937
IND321022AAA,Kaman_BsstdDPP_D (Rajasthan),Rajasthan,1,1,1.1428571428571428,2.0,0.0,2.0,1.1428571428571428,0.92,1,0.0,0.172413793088585,0.91999999908,0.02040816326488963,0.2761646725318797,938
IND581325AAA,Dandeli_RKComplx_D (Karnataka),Karnataka,2,1,3.093477144324602,1.8229166666666665,0.0016376201700217608,1.8229166666666665,1.546738572162301,0.9285714285714286,1,0.004708108315362988,0.15714798849219988,0.928571427642857,0.02040816326488963,0.2761389164338747,939
IND533308AAB,Mandapeta_Mainrd_D (Andhra Pradesh),Andhra Pradesh,2,2,5.941341991341991,3.3772486772486774,1.4833516032805805e-06,1.6886243386243387,2.9706709956709956,0.9333333333333333,1,4.2645908653650255e-06,0.14557106366196274,0.9333333323999999,0.04081632652977926,0.27585004060176044,940
IND713364AAB,Rupnarayanpur_Salanpur_D (West Bengal),West Bengal,1,1,4.166666666666666,1.719607843137255,0.0,1.719607843137255,4.166666666666666,0.9423076923076923,1,0.0,0.14824205543008734,0.9423076913653845,0.02040816326488963,0.2756986611886014,941
IND431131AAB,Majalgaon_SmbjiCwk_D (Maharashtra),Maharashtra,0,1,0.0,1.875,0.0,1.875,0.0,0.9285714285714286,1,0.0,0.16163793102054846,0.928571427642857,0.02040816326488963,0.2756135641555848,942
IND412105AAC,Pune_North_D_3 (Maharashtra),Maharashtra,1,1,2.5642857142857145,2.1,0.0,2.1,2.5642857142857145,0.9076923076923077,0,0.0,0.18103448274301429,0.9076923067846153,0.02040816326488963,0.27524292187164084,943
IND670643AAA,Kuthuparamba_IdstrlAr_D (Kerala),Kerala,1,1,1.4330357142857144,1.8,0.0,1.8,1.4330357142857144,0.9333333333333333,1,0.0,0.15517241377972651,0.9333333323999999,0.02040816326488963,0.2751876610346651,944
IND752050AAA,Khurdha_JatniDPP_D (Orissa),Orissa,2,2,2.5833333333333335,4.083333333333333,1.4803849000740192e-06,2.0416666666666665,1.2916666666666667,0.9,1,4.256061683634295e-06,0.17600574711126388,0.8999999991,0.04081632652977926,0.27512537515387214,945
IND722122AAA,Bishnupur_StnRdDPP_D (West Bengal),West Bengal,2,1,3.476190476190476,1.746031746031746,0.0,1.746031746031746,1.738095238095238,0.9375,1,0.0,0.15051997809320913,0.9374999990624999,0.02040816326488963,0.2750662187786607,946
IND110039AAA,Delhi_Barwala (Delhi),Delhi,1,1,2.0384615384615383,2.9423076923076925,0.0,2.9423076923076925,2.0384615384615383,0.8333333333333334,1,0.0,0.2536472148322453,0.8333333325,0.02040816326488963,0.2748063613227948,947
IND396580AAB,Vansda_CikhliRD_D (Gujarat),Gujarat,1,1,1.8333333333333333,1.775,0.0,1.775,1.8333333333333333,0.9333333333333333,0,0.0,0.1530172413661192,0.9333333323999999,0.02040816326488963,0.27464886793126325,948
IND608301AAA,Lalpet_PriyrNGR_D (Tamil Nadu),Tamil Nadu,1,1,2.555555555555556,1.8441295546558707,0.0,1.8441295546558707,2.555555555555556,0.9270833333333334,0,0.0,0.15897668573249088,0.92708333240625,0.02040816326488963,0.27457622902441864,949
IND242307AAB,Tilhar_SingCLNY_D (Uttar Pradesh),Uttar Pradesh,1,2,6.230769230769231,3.298515685766139,0.0077312285562983855,1.6492578428830695,6.230769230769231,0.9,1,0.022227047590282514,0.1421774002362838,0.8999999991,0.04081632652977926,0.27444626547013673,950
IND321606AAA,Kherli_GodamDPP_D (Rajasthan),Rajasthan,2,2,4.303448275862069,3.6283964245690092,0.0,1.8141982122845046,2.1517241379310343,0.9166666666666667,1,0.0,0.1563963975972507,0.91666666575,0.04081632652977926,0.27438821481627956,951
IND627811AAA,Tenkasi_RailwyRd_D (Tamil Nadu),Tamil Nadu,1,1,0.8999999999999999,1.5683229813664596,0.0,1.5683229813664596,0.8999999999999999,0.95,0,0.0,0.13520025700269478,0.9499999990499999,0.02040816326488963,0.2743612885029071,952
IND391110AAD,Dabhoi_Central_DPP_3 (Gujarat),Gujarat,1,2,1.9375,4.436868686868687,0.001634344929681717,2.2184343434343434,1.9375,0.875,1,0.004698692098732261,0.19124433993474993,0.8749999991249999,0.04081632652977926,0.27432807597896064,953
IND283203AAA,Firozabad_Sudmpuri_D (Uttar Pradesh),Uttar Pradesh,2,2,6.807302231237322,4.006448412698412,0.0,2.003224206349206,3.403651115618661,0.9,1,0.0,0.17269174191176848,0.8999999991,0.04081632652977926,0.274295384232409,954
IND602024AAA,Chennai_Vepmpttu_DC (Tamil Nadu),Tamil Nadu,1,2,1.6402714932126696,4.529761904761904,0.0005980754996299037,2.264880952380952,1.6402714932126696,0.875,1,0.0017194489201882552,0.19524835794704343,0.8749999991249999,0.04081632652977926,0.2742863453695436,955
IND305901AAA,Beawar_DC (Rajasthan),Rajasthan,1,2,1.8888888888888888,3.4468846749226003,0.0017859553303498188,1.7234423374613002,1.8888888888888888,0.9166666666666667,1,0.005134567401899491,0.14857261528557997,0.91666666575,0.04081632652977926,0.27422936782902674,956
IND322241AAA,Karauli_HnsChowk_D (Rajasthan),Rajasthan,1,1,1.6904761904761905,1.8730158730158728,0.0,1.8730158730158728,1.6904761904761905,0.9230769230769231,0,0.0,0.16146688559089706,0.9230769221538462,0.02040816326488963,0.27419717642591923,957
IND282001AAF,Agra_Central_D_3 (Uttar Pradesh),Uttar Pradesh,0,1,0.0,2.138888888888889,0.0,2.138888888888889,0.0,0.9,1,0.0,0.1843869731641812,0.8999999991,0.02040816326488963,0.27415796755577876,958
IND223101AAB,Shahganj_KcharaRD_D (Uttar Pradesh),Uttar Pradesh,1,1,2.0,1.826086956521739,0.0006039970392301998,1.826086956521739,2.0,0.9230769230769231,1,0.0017364731669227923,0.15742128934175154,0.9230769221538462,0.02040816326488963,0.2737935429720558,959
IND759122AAC,Angul_Central_I_2 (Orissa),Orissa,1,1,3.0,1.7888888888888888,0.0,1.7888888888888888,3.0,0.9285714285714286,0,0.0,0.1542145593736788,0.928571427642857,0.02040816326488963,0.27375772124386744,960
IND470113AAA,Bina_Srvdycwk_D (Madhya Pradesh),Madhya Pradesh,2,2,4.115601023017903,3.956146179401993,2.9607698001480383e-06,1.9780730897009966,2.0578005115089515,0.9,1,8.51212336726859e-06,0.17052354220090285,0.8999999991,0.04081632652977926,0.27375631354787117,961
IND396191AAC,Vapi_IndEstat_I (Gujarat),Gujarat,3,5,6.788248398774715,10.465704458376873,0.005067129076806463,2.0931408916753744,2.262749466258238,0.8328773369813041,1,0.014567842396086928,0.18044318030128717,0.8328773361484266,0.10204081632444816,0.2737349963997261,962
IND485771AAA,Maihar_MngalDPP_D (Madhya Pradesh),Madhya Pradesh,1,2,2.909090909090909,3.946524064171123,0.0,1.9732620320855614,2.909090909090909,0.9,1,0.0,0.1701087958547804,0.8999999991,0.04081632652977926,0.27364964771816197,963
IND509301AAA,Jadcherla_Badeplly_D (Telangana),Telangana,1,2,1.5238095238095235,3.1160990712074303,0.001634344929681717,1.5580495356037152,1.5238095238095235,0.9285714285714286,1,0.004698692098732261,0.13431461512667248,0.928571427642857,0.04081632652977926,0.27348850190640556,964
IND400015AAA,Mumbai_CottonGreen_DPC (Maharashtra),Maharashtra,3,2,6.8,4.504166666666666,0.0,2.252083333333333,2.2666666666666666,0.875,1,0.0,0.1941451149257921,0.8749999991249999,0.04081632652977926,0.2734087274921649,965
IND574221AAA,Kadaba_AnugrDPP_D (Karnataka),Karnataka,1,1,1.5128205128205128,1.7297297297297298,0.0,1.7297297297297298,1.5128205128205128,0.9322033898305084,1,0.0,0.14911463186039786,0.932203388898305,0.02040816326488963,0.27339072967940914,966
IND500080AAB,Hyderabad_Chikdply_I (Telangana),Telangana,2,1,4.588675213675213,1.8888888888888888,0.0,1.8888888888888888,2.2943376068376065,0.9180327868852459,1,0.0,0.16283524902810806,0.918032785967213,0.02040816326488963,0.2732782332385637,967
IND480334AAA,Pandhurna_Mataward_D (Madhya Pradesh),Madhya Pradesh,1,1,1.5941176470588236,1.455026455026455,0.0005995558845299778,1.455026455026455,1.5941176470588236,0.9523809523809523,1,0.0017237049818718895,0.12543331507767427,0.9523809514285713,0.02040816326488963,0.27311808785995,968
IND577201AAA,Shimoga_DC (Karnataka),Karnataka,3,2,4.95677123844093,3.961862745098039,0.0028319763138415985,1.9809313725490194,1.65225707948031,0.885,1,0.008141846000792406,0.17076994589467667,0.8849999991149999,0.04081632652977926,0.2729145813321634,969
IND413304AAA,Pandharpur_RajCmplx_D (Maharashtra),Maharashtra,2,2,4.333333333333333,3.31013431013431,0.002834684913869189,1.655067155067155,2.1666666666666665,0.9130252100840336,1,0.008149633143712564,0.14267820301073075,0.9130252091710083,0.04081632652977926,0.27290067362520104,970
IND400102AAB,Mumbai_Jogeshwri_L (Maharashtra),Maharashtra,1,1,2.2264957264957266,1.95,0.0,1.95,2.2264957264957266,0.9107142857142857,1,0.0,0.1681034482613704,0.9107142848035713,0.02040816326488963,0.2727656577559689,971
IND303702AAB,Chomu_ShsmlDPP_D (Rajasthan),Rajasthan,1,2,2.210526315789474,2.985294117647059,0.0,1.4926470588235294,2.210526315789474,0.9375,1,0.0,0.1286764705771425,0.9374999990624999,0.04081632652977926,0.2726665663893775,972
IND243201AAA,Baheri_HoliCDPP_D (Uttar Pradesh),Uttar Pradesh,2,1,3.2031398776825606,1.8,0.0,1.8,1.6015699388412803,0.9230769230769231,1,0.0,0.15517241377972651,0.9230769221538462,0.02040816326488963,0.27262355847312664,973
